1:1
2:1
3:1
BT1:1
BZ1:1
C1:1
C2:1
G***:4
J2:1
LED1:1
LED2:1
LED3:1
LED4:1
LED5:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RESET:1
U1:1
